order,title,published,status,id,google_scholar,has_slides,alternate_url
15,"The effects of algorithmic labor market recommendations: evidence from a field experiment",1,"Journal of Labor Economics",employer_search,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:6bLC7aUMtPcC,4.0,
16,"Labor allocation in paid crowdsourcing: experimental evidence on positioning, nudges and prices",1,HCOMP,allocation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:roLk4NBRz8UC,2.0,
17,"Covid-19 and remote work: an early look at us data",0,"Working paper",covid,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:w1MjKQ0l0TYC,,
18,"Wielding peer effects in online production: evidence from a series of field experiments",0,"Working paper",peer_effects,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:-95Q15plzcUC,,
19,"The ruble collapse in an online marketplace: some lessons for market designers",0,"R&R, Journal of Labor Economics",russia,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:U_HPUtbDl20C,18.0,
20,"Steering in online markets: the role of platform incentives and credibility",1,"Management Science",badging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&pagesize=80&citation_for_view=L_O2kH0AAAAJ:OBSaB-F7qqsC,6.0,
21,"The future of crowd work",1,"ACM-CSCW 2013",crowdwork,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:KlAtU1dfN6UC,,
22,"Digital labor markets and global talent flows",1,"Book Chapter",flows,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:PyEswDtIyv0C,,
23,"The dot-guessing game: a ‘fruit fly’for human computation research",1,"Working paper",fruitfly,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:_FxGoFyzp5QC,,
24,"Head in the clouds: challenges and opportunities in crowdsourcing",1,"ACM Crossroads ",head_in_clouds,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:0EnyYjriUFMC,,
25,"Reputation inflation",1,"Marketing Science",longrun,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&pagesize=80&citation_for_view=L_O2kH0AAAAJ:yxmsSjX2EkcC,11.0,
26,"Labor economists get their microscope: big data and labor market analysis",1,"Big Data",microscope,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:LPtt_HFRSbwC,,
27,"Online labor markets",1,WINE,olm,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:qjMakFHDy7sC,,
28,"The online laboratory: conducting experiments in a real labor market",1,"Experimental Economics",online_laboratory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:u-x6o8ySG0sC,14.0,
29,"The labor economics of paid crowdsourcing",1,ACM-EC,paid_crowdsourcing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:u5HHmVD_uO8C,27.0,
30,"Designing incentives for inexpert raters",1,"ACM-CSCW 2011",raters,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:UeHWp8X0CEIC,,
31,"Buyer uncertainty about seller capacity: causes, consequences, and a partial solution",1,"Management Science",scs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&pagesize=80&citation_for_view=L_O2kH0AAAAJ:1yWc8FF-_SYC,21.0,
32,"The effects of search advertising on competitors: an experiment before a merger",1,"Management Science",search_ad_exp,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&pagesize=80&citation_for_view=L_O2kH0AAAAJ:RoXSNcbkSzsC,19.0,
33,"Owning, using and renting: some simple economics of the sharing economy",1,"Management Science",sharing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:rHJHxKgnXwkC,20.0,
34,"Are online labor markets spot markets for tasks?",1,"Information Systems Research",spot,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:AXkvAH5U_nMC,,
35,"The need for standardization in crowdsourcing",1,"Proceedings of the workshop on crowdsourcing and human computation at CHI",standardization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&cstart=20&pagesize=80&citation_for_view=L_O2kH0AAAAJ:Tyk-4Ss8FVUC,,
36,"Task search in a human computation market",1,"HCOMP 2010",task,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:d1gkVwhDpl0C,26.0,
37,"The condition of the turking class: are online employers fair and honest?",1,"Economic Letters",turking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&citation_for_view=L_O2kH0AAAAJ:2osOgNQ5qMEC,,
38,"How do employers use compensation history: evidence from a field experiment",1,"Journal of Labor Economics",WageHistory,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=L_O2kH0AAAAJ&pagesize=80&citation_for_view=L_O2kH0AAAAJ:Dem6FJhTUoYC,31.0,
